电影名称	评分	评价数量	
恐怖游轮	8.4	460056人	
魂断蓝桥	8.8	164978人	
黑客帝国3：矩阵革命	8.7	226424人	
海街日记	8.7	214708人	
猜火车	8.5	306849人	
罗生门	8.8	175788人	
完美陌生人	8.5	334570人	
阿飞正传	8.5	296396人	
头号玩家	8.7	826346人	
香水	8.5	362982人	
功夫	8.4	467513人	
可可西里	8.7	171449人	
朗读者	8.5	333756人	
﻿谍影重重2	8.6	219415人	
浪潮	8.7	173662人	
牯岭街少年杀人事件	8.8	149744人	
谍影重重	8.6	261481人	
战争之王	8.6	225297人	
地球上的星星	8.9	121079人	
疯狂的石头	8.4	453023人	
初恋这件小事	8.3	635172人	
青蛇	8.5	304456人	
惊魂记	8.9	121039人	
终结者2：审判日	8.6	199125人	
源代码	8.4	521270人	
爱在午夜降临前	8.8	167511人	
步履不停	8.8	139902人	
新龙门客栈	8.5	258570人	
奇迹男孩	8.6	324049人	
小萝莉的猴神大叔	8.5	272267人	
追随	8.9	108569人	
一次别离	8.7	168373人	
无耻混蛋	8.5	294620人	
再次出发之纽约遇见你	8.5	245847人	
釜山行	8.4	564410人	
血钻	8.6	196828人	
东京物语	9.2	73081人	
撞车	8.6	219596人	
﻿彗星来的那一夜	8.5	276819人	
城市之光	9.3	65223人	
2001太空漫游	8.7	149879人	
梦之安魂曲	8.7	144931人	
新世界	8.7	150360人	
绿里奇迹	8.7	145375人	
疯狂的麦克斯4：狂暴之路	8.6	297073人	
聚焦	8.8	172978人	
E.T. 外星人	8.5	211614人	
这个男人来自地球	8.5	245306人	
末路狂花	8.7	138286人	
黑鹰坠落	8.6	169859人	
发条橙	8.5	238243人	
遗愿清单	8.6	191658人	
变脸	8.4	272971人	
勇闯夺命岛	8.6	182454人	
国王的演讲	8.4	436495人	
我爱你	9.0	84818人	
黄金三镖客	9.1	71171人	
千钧一发	8.7	131548人	
非常嫌疑犯	8.6	163591人	
秒速5厘米	8.3	413509人	
驴得水	8.3	504149人	
卡萨布兰卡	8.6	160765人	
四个春天	8.9	87580人	
